Rule 1,Description 1,Rule 2,Description 2,Score (1-10),Reason
ELB_INTERNAL_SCHEME_CHECK,Checks if a Classic Load Balancer scheme is internal. The rule is NON_COMPLIANT if configuration.scheme is not set to internal.,ALB_INTERNAL_SCHEME_CHECK,Checks if an Application Load Balancer scheme is internal. The rule is NON_COMPLIANT if configuration.scheme is not set to internal.,8,Similar names (95%); Similar descriptions (95%)
NLB_INTERNAL_SCHEME_CHECK,Checks if a Network Load Balancer scheme is internal. The rule is NON_COMPLIANT if configuration.scheme is not set to internal.,ALB_INTERNAL_SCHEME_CHECK,Checks if an Application Load Balancer scheme is internal. The rule is NON_COMPLIANT if configuration.scheme is not set to internal.,8,Similar names (95%); Similar descriptions (93%)
GLB_LISTENER_TAGGED,"Checks if Gateway Load Balancer listeners have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",NLB_LISTENER_TAGGED,"Checks if Network Load Balancer listeners have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",8,Similar names (95%); Similar descriptions (97%)
GLB_LISTENER_TAGGED,"Checks if Gateway Load Balancer listeners have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",ALB_LISTENER_TAGGED,"Checks if Application Load Balancer listeners have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",8,Similar names (95%); Similar descriptions (96%)
FSX_LAST_BACKUP_RECOVERY_POINT_CREATED,Checks if a recovery point was created for Amazon FSx File Systems. The rule is NON_COMPLIANT if the Amazon FSx File System does not have a corresponding recovery point created within the specified time period.,EFS_LAST_BACKUP_RECOVERY_POINT_CREATED,Checks if a recovery point was created for Amazon Elastic File System (Amazon EFS) File Systems. The rule is NON_COMPLIANT if the Amazon EFS File System does not have a corresponding Recovery Point created within the specified time period.,8,Similar names (97%); Similar descriptions (91%)
NLB_LISTENER_TAGGED,"Checks if Network Load Balancer listeners have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",ALB_LISTENER_TAGGED,"Checks if Application Load Balancer listeners have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",8,Similar names (95%); Similar descriptions (96%)
ALB_DESYNC_MODE_CHECK,Checks if an Application Load Balancer (ALB) is configured with a user defined desync mitigation mode. The rule is NON_COMPLIANT if ALB desync mitigation mode does not match with the user defined desync mitigation mode.,CLB_DESYNC_MODE_CHECK,Checks if Classic Load Balancers (CLB) are configured with a user defined Desync mitigation mode. The rule is NON_COMPLIANT if CLB Desync mitigation mode does not match with user defined Desync mitigation mode.,8,Similar names (93%); Similar descriptions (92%)
APIGATEWAYV2_STAGE_DESCRIPTION,Checks if Amazon API Gateway V2 stages have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,APIGATEWAY_STAGE_DESCRIPTION,Checks if Amazon API Gateway stages have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,8,Similar names (97%); Similar descriptions (99%)
EC2_NETWORK_INSIGHTS_PATH_TAGGED,"Checks if Amazon EC2 network insights paths have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_NETWORK_INSIGHTS_ACCESS_SCOPE_TAGGED,"Checks if Amazon EC2 network insights access scopes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (81%); Similar descriptions (97%)
EC2_NETWORK_INSIGHTS_PATH_TAGGED,"Checks if Amazon EC2 network insights paths have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_NETWORK_INSIGHTS_ANALYSIS_TAGGED,"Checks if Amazon EC2 network insights analyses have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (85%); Similar descriptions (98%)
EC2_TRAFFIC_MIRROR_FILTER_DESCRIPTION,Checks if Amazon EC2 traffic mirror filters have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,EC2_TRAFFIC_MIRROR_SESSION_DESCRIPTION,Checks if Amazon EC2 traffic mirror sessions have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,7,Similar names (85%); Similar descriptions (96%)
EC2_TRAFFIC_MIRROR_FILTER_DESCRIPTION,Checks if Amazon EC2 traffic mirror filters have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,EC2_TRAFFIC_MIRROR_TARGET_DESCRIPTION,Checks if Amazon EC2 traffic mirror targets have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,7,Similar names (89%); Similar descriptions (97%)
EC2_NETWORK_INSIGHTS_ACCESS_SCOPE_TAGGED,"Checks if Amazon EC2 network insights access scopes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_NETWORK_INSIGHTS_ACCESS_SCOPE_ANALYSIS_TAGGED,"Checks if Amazon EC2 network insights access scope analyses have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (90%); Similar descriptions (98%)
EC2_NETWORK_INSIGHTS_ACCESS_SCOPE_TAGGED,"Checks if Amazon EC2 network insights access scopes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_NETWORK_INSIGHTS_ANALYSIS_TAGGED,"Checks if Amazon EC2 network insights analyses have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (82%); Similar descriptions (97%)
EC2_TRAFFIC_MIRROR_SESSION_DESCRIPTION,Checks if Amazon EC2 traffic mirror sessions have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,EC2_TRAFFIC_MIRROR_TARGET_DESCRIPTION,Checks if Amazon EC2 traffic mirror targets have a description. The rule is NON_COMPLIANT if configuration.Description does not exist.,7,Similar names (85%); Similar descriptions (96%)
EC2_NETWORK_INSIGHTS_ACCESS_SCOPE_ANALYSIS_TAGGED,"Checks if Amazon EC2 network insights access scope analyses have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_NETWORK_INSIGHTS_ANALYSIS_TAGGED,"Checks if Amazon EC2 network insights analyses have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (85%); Similar descriptions (97%)
EC2_TRAFFIC_MIRROR_FILTER_TAGGED,"Checks if Amazon EC2 traffic mirror filters have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_TRAFFIC_MIRROR_SESSION_TAGGED,"Checks if Amazon EC2 traffic mirror sessions have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (97%)
EC2_TRAFFIC_MIRROR_FILTER_TAGGED,"Checks if Amazon EC2 traffic mirror filters have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_TRAFFIC_MIRROR_TARGET_TAGGED,"Checks if Amazon EC2 traffic mirror targets have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (88%); Similar descriptions (98%)
EC2_TRAFFIC_MIRROR_SESSION_TAGGED,"Checks if Amazon EC2 traffic mirror sessions have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",EC2_TRAFFIC_MIRROR_TARGET_TAGGED,"Checks if Amazon EC2 traffic mirror targets have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (97%)
GUARDDUTY_MALWARE_PROTECTION_ENABLED,Checks if Malware Protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Malware Protection feature in Amazon GuardDuty is not enabled for your account.,GUARDDUTY_LAMBDA_PROTECTION_ENABLED,Checks if Lambda Protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Lambda Protection feature in Amazon GuardDuty is not enabled for your account.,7,Similar names (84%); Similar descriptions (94%)
GUARDDUTY_MALWARE_PROTECTION_ENABLED,Checks if Malware Protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Malware Protection feature in Amazon GuardDuty is not enabled for your account.,GUARDDUTY_S3_PROTECTION_ENABLED,Checks if S3 Protection is enabled for an Amazon GuardDuty Detector in your account. The rule is NON_COMPLIANT if the S3 Protection feature in Amazon GuardDuty is not enabled for your account.,7,Similar names (82%); Similar descriptions (95%)
GUARDDUTY_LAMBDA_PROTECTION_ENABLED,Checks if Lambda Protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Lambda Protection feature in Amazon GuardDuty is not enabled for your account.,GUARDDUTY_S3_PROTECTION_ENABLED,Checks if S3 Protection is enabled for an Amazon GuardDuty Detector in your account. The rule is NON_COMPLIANT if the S3 Protection feature in Amazon GuardDuty is not enabled for your account.,7,Similar names (84%); Similar descriptions (96%)
GUARDDUTY_RDS_PROTECTION_ENABLED,Checks if Amazon Relational Database Service (Amazon RDS) protection is enabled for an Amazon GuardDuty detector in your account. The rule is NON_COMPLIANT if the Amazon RDS protection feature in Amazon GuardDuty is not enabled for you account.,GUARDDUTY_S3_PROTECTION_ENABLED,Checks if S3 Protection is enabled for an Amazon GuardDuty Detector in your account. The rule is NON_COMPLIANT if the S3 Protection feature in Amazon GuardDuty is not enabled for your account.,7,Similar names (94%); Similar descriptions (87%)
LIGHTSAIL_BUCKET_TAGGED,"Checks if Amazon Lightsail buckets have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",LIGHTSAIL_DISK_TAGGED,"Checks if Amazon Lightsail disks have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (82%); Similar descriptions (98%)
RDS_INSTANCE_IAM_AUTHENTICATION_ENABLED,Checks if an Amazon Relational Database Service (Amazon RDS) instance has AWS Identity and Access Management (IAM) authentication enabled. The rule is NON_COMPLIANT if an Amazon RDS instance does not have IAM authentication enabled.,RDS_CLUSTER_IAM_AUTHENTICATION_ENABLED,Checks if an Amazon Relational Database Service (Amazon RDS) cluster has AWS Identity and Access Management (IAM) authentication enabled. The rule is NON_COMPLIANT if an Amazon RDS Cluster does not have IAM authentication enabled.,7,Similar names (85%); Similar descriptions (94%)
IAM_SAML_PROVIDER_TAGGED,"Checks if AWS IAM SAML providers have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IAM_OIDC_PROVIDER_TAGGED,"Checks if AWS IAM OIDC providers have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (98%)
EVIDENTLY_PROJECT_DESCRIPTION,Checks if Amazon CloudWatch Evidently projects have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,EVIDENTLY_LAUNCH_DESCRIPTION,Checks if Amazon CloudWatch Evidently launches have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,7,Similar names (81%); Similar descriptions (96%)
EVIDENTLY_PROJECT_DESCRIPTION,Checks if Amazon CloudWatch Evidently projects have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,EVIDENTLY_SEGMENT_DESCRIPTION,Checks if Amazon CloudWatch Evidently segments have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,7,Similar names (83%); Similar descriptions (97%)
EVIDENTLY_LAUNCH_DESCRIPTION,Checks if Amazon CloudWatch Evidently launches have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,EVIDENTLY_SEGMENT_DESCRIPTION,Checks if Amazon CloudWatch Evidently segments have a description. The rule is NON_COMPLIANT if configuration.Description does not exist or is an empty string.,7,Similar names (81%); Similar descriptions (96%)
IOTTWINMAKER_COMPONENT_TYPE_TAGGED,"Checks if AWS IoT TwinMaker component types have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_ENTITY_TAGGED,"Checks if AWS IoT TwinMaker entities have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (96%)
IOTTWINMAKER_COMPONENT_TYPE_TAGGED,"Checks if AWS IoT TwinMaker component types have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_SCENE_TAGGED,"Checks if AWS IoT TwinMaker scenes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (81%); Similar descriptions (96%)
IOTTWINMAKER_ENTITY_TAGGED,"Checks if AWS IoT TwinMaker entities have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_SCENE_TAGGED,"Checks if AWS IoT TwinMaker scenes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (86%); Similar descriptions (98%)
IOTTWINMAKER_SCENE_TAGGED,"Checks if AWS IoT TwinMaker scenes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_SYNC_JOB_TAGGED,"Checks if AWS IoT TwinMaker sync jobs have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (98%)
IOTTWINMAKER_SCENE_TAGGED,"Checks if AWS IoT TwinMaker scenes have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",IOTTWINMAKER_WORKSPACE_TAGGED,"Checks if AWS IoT TwinMaker workspaces have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (85%); Similar descriptions (97%)
APPSYNC_CACHE_CT_ENCRYPTION_IN_TRANSIT,Checks if an AWS AppSync API cache has encryption in transit enabled. The rule is NON_COMPLIANT if 'TransitEncryptionEnabled' is false.,APPSYNC_CACHE_CT_ENCRYPTION_AT_REST,Checks if an AWS AppSync API cache has encryption at rest enabled. This rule is NON_COMPLIANT if 'AtRestEncryptionEnabled' is false.,7,Similar names (82%); Similar descriptions (94%)
APPMESH_VIRTUAL_SERVICE_TAGGED,"Checks if AWS App Mesh virtual services have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_NODE_TAGGED,"Checks if AWS App Mesh virtual nodes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (84%); Similar descriptions (94%)
APPMESH_VIRTUAL_SERVICE_TAGGED,"Checks if AWS App Mesh virtual services have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_ROUTER_TAGGED,"Checks if AWS App Mesh virtual routers have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (85%); Similar descriptions (97%)
APPMESH_MESH_TAGGED,"Checks if AWS App Mesh meshes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_ROUTE_TAGGED,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (82%); Similar descriptions (98%)
APPMESH_GATEWAY_ROUTE_TAGGED,"Checks if AWS App Mesh gateway routes have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_ROUTE_TAGGED,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (97%)
APPMESH_VIRTUAL_NODE_TAGGED,"Checks if AWS App Mesh virtual nodes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_ROUTER_TAGGED,"Checks if AWS App Mesh virtual routers have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (89%); Similar descriptions (96%)
APPMESH_VIRTUAL_NODE_TAGGED,"Checks if AWS App Mesh virtual nodes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_GATEWAY_TAGGED,"Checks if AWS App Mesh virtual gateways have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (84%); Similar descriptions (96%)
APPMESH_VIRTUAL_ROUTER_TAGGED,"Checks if AWS App Mesh virtual routers have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_VIRTUAL_GATEWAY_TAGGED,"Checks if AWS App Mesh virtual gateways have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (85%); Similar descriptions (97%)
APPMESH_VIRTUAL_ROUTER_TAGGED,"Checks if AWS App Mesh virtual routers have tags. Optionally, you can specify tag keys for the rule. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",APPMESH_ROUTE_TAGGED,"Checks if AWS App Mesh routes have tags. Optionally, you can specify tag keys for the rule to check. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (82%); Similar descriptions (93%)
APPMESH_VIRTUAL_GATEWAY_LISTENERS_HEALTH_CHECK_ENABLED,Checks if listeners for AWS App Mesh virtual gateways have health check enabled. The rule is NON_COMPLIANT if configuration.Spec.Listeners[].HealthCheck does not exist in one or more listeners.,APPMESH_VIRTUAL_NODE_LISTENERS_HEALTH_CHECK_ENABLED,Checks if listeners for AWS App Mesh virtual nodes have health check enabled. The rule is NON_COMPLIANT if configuration.Spec.Listeners[].HealthCheck does not exist in one or more listeners.,7,Similar names (90%); Similar descriptions (98%)
APPMESH_VIRTUAL_NODE_CLOUD_MAP_IP_PREF_CHECK,Checks if an AWS App Mesh virtual node is configured with the specified IP preference for AWS Cloud Map service discovery. The rule is NON_COMPLIANT if the virtual node is not configured with the IP preference specified in the required rule parameter.,APPMESH_VIRTUAL_NODE_DNS_IP_PREF_CHECK,Checks if an AWS App Mesh virtual node is configured with the specified IP preference for DNS service discovery. The rule is NON_COMPLIANT if the virtual node is not configured with the IP preference specified in the required rule parameter.,7,Similar names (86%); Similar descriptions (97%)
BATCH_COMPUTE_ENVIRONMENT_MANAGED,Checks if AWS Batch compute environments are managed. The rule is NON_COMPLIANT if configuration.Type is 'UNMANAGED'.,BATCH_COMPUTE_ENVIRONMENT_ENABLED,Checks if AWS Batch compute environments are enabled. The rule is NON_COMPLIANT if configuration.State is 'DISABLED'.,7,Similar names (86%); Similar descriptions (91%)
MQ_RABBIT_DEPLOYMENT_MODE,Checks the deployment mode configured for the Amazon MQ RabbitMQ broker engine. The rule is NON_COMPLIANT if the default single-instance broker mode is being used.,MQ_ACTIVE_DEPLOYMENT_MODE,Checks the deployment mode configured for Amazon MQ ActiveMQ broker engine. The rule is NON_COMPLIANT if the default single-instance broker mode is being used.,7,Similar names (84%); Similar descriptions (96%)
API_GW_STAGE_TAGGED,"Checks if AWS ApiGateway stage resources resources have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",API_GW_REST_API_TAGGED,"Checks if AWS ApiGateway REST API resources have tags. Optionally, you can specify tag keys. The rule is NON_COMPLIANT if there are no tags or if the specified tag keys are not present. The rule does not check for tags starting with 'aws:'.",7,Similar names (83%); Similar descriptions (95%)
FSX_OPENZFS_DEPLOYMENT_TYPE_CHECK,Checks if the Amazon FSx for OpenZFS file systems are configured with certain deployment types. The rule is NON_COMPLIANT if FSx for OpenZFS file systems are not configured with the deployment types you specify.,FSX_WINDOWS_DEPLOYMENT_TYPE_CHECK,Checks if the Amazon FSx for WINDOWS file systems are configured with certain deployment types. The rule is NON_COMPLIANT if FSx for WINDOWS file systems are not configured with the deployment types you specify.,7,Similar names (81%); Similar descriptions (94%)
WAF_REGIONAL_RULEGROUP_NOT_EMPTY,Checks if WAF Regional rule groups contain any rules. The rule is NON_COMPLIANT if there are no rules present within a WAF Regional rule group.,WAF_GLOBAL_RULEGROUP_NOT_EMPTY,Checks if an AWS WAF Classic rule group contains any rules. The rule is NON_COMPLIANT if there are no rules present within a rule group.,7,Similar names (90%); Similar descriptions (87%)
